Altura,Largo,Ancho,Traccion,Motor,Hibrido,Marchas,Transmision,MPGciudad,TipoCombustible,MPGcarretera,Clasificacion,id,Marca,ModeloAno,Ano,CaballosFuerza,Torque
224,177,118,Front-wheel drive,Toyota 3.5L 6 Cylinder 270 hp 248 ft-lbs.,True,5,5 Speed Automatic Select Shift,18,Gasoline,24,Automatic transmission,2010 Toyota Highlander Limited,Toyota,2010 Toyota Highlander,2010,270,248
196,173,209,Rear-wheel drive,Lincoln 5.4L 8 Cylinder 310 hp 365 ft-lbs FFV,True,6,6 Speed Automatic,14,Gasoline,20,Automatic transmission,2010 Lincoln Navigator,Lincoln,2010 Lincoln Navigator,2010,310,365
112,140,181,Rear-wheel drive,GMC 3.7L 5 Cylinder 242 hp 242 ft-lbs,True,4,4 Speed Automatic,17,Gasoline,23,Automatic transmission,2011 GMC Canyon Extended Cab SLT 2WD,GMC,2011 GMC Canyon,2011,242,242
180,244,239,Front-wheel drive,Kia 2.4L 4 Cylinder 173 hp 168 ft-lbs,True,6,6 Speed Manual,22,Gasoline,32,Manual transmission,2011 Kia Forte 5-Door SX,Kia,2011 Kia Forte 5-Door,2011,173,168
134,67,219,Front-wheel drive,Scion 2.4L 4 Cylinder 161hp 162ft-lbs,True,5,5 Speed Manual,20,Gasoline,27,Manual transmission,2010 Scion tC,Scion,2010 Scion tC,2010,161,162
254,63,212,Front-wheel drive,Dodge 2.0L 4 Cylinder 158 hp 141  ft-lbs,True,5,5 Speed Manual,24,Gasoline,32,Manual transmission,2011 Dodge Caliber Express,Dodge,2011 Dodge Caliber,2011,158,141
138,36,212,Four-wheel drive,Ford 5.0L 8 Cylinder 360 hp 380 ft-lbs FFV,True,6,6 Speed Automatic,10,E85,14,Automatic transmission,2011 Ford F-150 XL 6.5-ft. Bed V8 4X4,Ford,2011 Ford F-150,2011,360,380
200,105,249,Front-wheel drive,Volkswagen 2.5L 5 Cylinder 170 hp 177 ft-lbs,True,5,5 Speed Manual,23,Gasoline,33,Manual transmission,2011 Volkswagen Golf 2.5L 2-Door,Volkswagen,2011 Volkswagen Golf 2-Door,2011,170,177
24,216,133,Rear-wheel drive,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,True,5,5 Speed Automatic,17,Gasoline,23,Automatic transmission,2011 Toyota 4Runner SR5,Toyota,2011 Toyota 4Runner,2011,270,278
191,5,135,Front-wheel drive,Ford 3.5L 6 Cylinder 262 hp 248 ft-lbs,True,6,6 Speed Automatic,17,Gasoline,24,Automatic transmission,2011 Ford Flex Limited,Ford,2011 Ford Flex,2011,262,248
95,45,212,Rear-wheel drive,Ford 4.6L 8 cylinder 292 hp 320 ft-lbs,True,6,6 Speed Automatic,15,Gasoline,21,Automatic transmission,2010 Ford F-150 XL SuperCrew 6.5-ft. Bed  292 hp,Ford,2010 Ford F-150,2010,292,320
188,140,206,Four-wheel drive,Chevrolet 5.3L 8 Cylinder 300 hp 320 ft-lbs,True,4,4 Speed Automatic,14,Gasoline,19,Automatic transmission,2010 Chevrolet Colorado Crew Cab LT2 5.3L 4WD,Chevrolet,2010 Chevrolet Colorado,2010,300,320
82,215,240,Rear-wheel drive,Chevrolet 5.3L 8 Cylinder 315 hp 335 ft-lbs FFV,True,6,6 Speed Automatic,15,Gasoline,22,Automatic transmission,2010 Chevrolet Silverado 1500 Crew Cab XFE,Chevrolet,2010 Chevrolet Silverado 1500,2010,315,335
38,20,189,Rear-wheel drive,Maybach 5.5L 12 Cylinder 543 hp 664 ft-lbs Turbo,True,5,5 Speed Automatic Select Shift,10,Gasoline,16,Automatic transmission,2011 Maybach 62,Maybach,2011 Maybach 62,2011,543,664
193,251,49,Rear-wheel drive,Cadillac 3.0L 6 Cylinder 270 hp 223 ft-lbs,True,6,6 Speed Manual,16,Gasoline,26,Manual transmission,2011 Cadillac CTS Sport Sedan,Cadillac,2011 Cadillac CTS Sport Sedan,2010,270,223
156,23,42,All-wheel drive,Dodge 3.5L 6 Cylinder 235 hp 232 ft-lbs,True,6,6 Speed Automatic Select Shift,15,Gasoline,23,Automatic transmission,2010 Dodge Journey R/T AWD,Dodge,2010 Dodge Journey,2010,235,232
172,164,236,Rear-wheel drive,Infiniti 3.7L 6 cylinder 328 hp 269 ft-lbs,True,7,7 Speed Automatic Select Shift,19,Gasoline,27,Automatic transmission,2012 Infiniti G37 Sedan Journey,Infiniti,2012 Infiniti G37 Sedan,2012,328,269
25,24,8,Rear-wheel drive,Porsche 3.4L 6 Cylinder 320 hp 273 ft-lbs,True,6,6 Speed Manual,19,Gasoline,26,Manual transmission,2011 Porsche Cayman S,Porsche,2011 Porsche Cayman,2011,320,273
180,244,239,Front-wheel drive,Kia 2.4L 4 Cylinder 173 hp 168 ft-lbs,True,6,6 Speed Automatic Select Shift,23,Gasoline,32,Automatic transmission,2011 Kia Forte 5-Door SX AT,Kia,2011 Kia Forte 5-Door,2011,173,168
5,33,143,Front-wheel drive,Ford 3.5L 6 Cylinder 263 hp 249 ft-lbs,True,6,6 Speed Automatic Select Shift,18,Gasoline,27,Automatic transmission,2012 Ford Taurus Limited,Ford,2012 Ford Taurus,2012,263,249
200,153,239,Front-wheel drive,Hyundai 2.0L 4 cylinder 138 hp 136 ft-lbs,True,4,4 Speed Automatic,26,Gasoline,34,Automatic transmission,2010 Hyundai Elantra Sedan SE,Hyundai,2010 Hyundai Elantra Sedan,2010,138,136
210,38,97,Rear-wheel drive,Hyundai 4.6L 8 Cylinder 385 hp 333 ft-lbs,True,6,6 Speed Automatic Select Shift,16,Gasoline,24,Automatic transmission,2011 Hyundai Equus Signature,Hyundai,2011 Hyundai Equus,2011,385,333
165,233,41,All-wheel drive,Ford 3.0L 6 Cylinder 240 hp 228 ft-lbs FFV,True,6,6 Speed Automatic Select Shift,13,E85,18,Automatic transmission,2010 Ford Fusion V6 SEL AWD,Ford,2010 Ford Fusion,2010,240,228
244,99,57,Four-wheel drive,Nissan 4.0L 6 Cylinder 261 hp 281 ft-lbs,True,6,6 Speed Manual,15,Gasoline,20,Manual transmission,2011 Nissan Frontier Crew Cab PRO-4X 4x4,Nissan,2011 Nissan Frontier,2011,261,281
